staleness_ns,horizon_ns,dataset_rows,target_rows,target_coverage,mean_valid_venue_count,all_venues_valid_rows,all_venues_valid_fraction,maximum_venue_count,purged_train_rows,purged_validation_rows,feature_count,test_rows,test_target_unique_values,mae,ic,direction_accuracy,balanced_accuracy,roc_auc_nonzero,evaluation_status
25000000,10000000,35980,25378,0.7053362979433019,0.38032240133407447,11,0.0003057254030016676,2,21,20,44,2798,35,16.90141880087012,0.14964990645972331,0.9810578984989278,0.35547335423197496,1.0,completed
25000000,50000000,35980,26515,0.7369371873262924,0.38032240133407447,11,0.0003057254030016676,2,21,20,44,2809,43,21.75605933514166,0.1421047886077354,0.9797080811676754,0.36716909543944426,1.0,completed
25000000,100000000,35980,26515,0.7369371873262924,0.38032240133407447,11,0.0003057254030016676,2,21,20,44,2812,47,31.9985690048569,0.17667726220584185,0.9655049786628734,0.3763317768902252,1.0,completed
25000000,250000000,35980,26513,0.736881600889383,0.38032240133407447,11,0.0003057254030016676,2,21,20,44,2784,60,54.94464323113884,0.24684395431871622,0.9396551724137931,0.3699228252070679,0.9896825396825397,completed
25000000,1000000000,35980,26509,0.7367704280155642,0.38032240133407447,11,0.0003057254030016676,2,21,20,44,2791,78,169.04633288309498,0.2992389230301669,0.7703332139018273,0.44210582272617555,0.9396221340684462,completed
50000000,10000000,35980,35051,0.9741801000555864,0.5621734296831573,126,0.003501945525291829,2,21,20,44,3027,43,24.96852212105015,0.13845902322465967,0.9808391146349521,0.36536994660564454,1.0,completed
50000000,50000000,35980,35312,0.9814341300722623,0.5621734296831573,126,0.003501945525291829,2,21,20,44,3033,47,26.60991755178224,0.15283096639071628,0.9795581932080448,0.36333333333333334,1.0,completed
50000000,100000000,35980,35311,0.9814063368538076,0.5621734296831573,126,0.003501945525291829,2,21,20,44,3033,52,32.442983617947924,0.19103936672923955,0.9630728651500164,0.3504047585558378,1.0,completed
50000000,250000000,35980,35308,0.9813229571984435,0.5621734296831573,126,0.003501945525291829,2,21,20,44,3018,65,58.17378156801021,0.22360367343524282,0.9327369118621603,0.3570023989995661,0.9846846846846847,completed
50000000,1000000000,35980,35293,0.9809060589216231,0.5621734296831573,126,0.003501945525291829,2,21,20,44,3014,84,162.33266802699114,0.2971731514903743,0.7339084273390842,0.4825430064994493,0.9298325596816976,completed
100000000,10000000,35980,35313,0.981461923290717,0.9823235130628126,291,0.008087826570316843,2,20,20,44,5315,47,14.481894266265316,0.10137134288784107,0.9877704609595485,0.3333333333333333,1.0,completed
100000000,50000000,35980,35487,0.9862979433018344,0.9823235130628126,291,0.008087826570316843,2,20,20,44,5319,51,15.092695434023817,0.11084452252018402,0.9870276367738297,0.3333333333333333,1.0,completed
100000000,100000000,35980,35486,0.9862701500833797,0.9823235130628126,291,0.008087826570316843,2,20,20,44,5308,53,25.809283741705126,0.1715017979852832,0.9760738507912585,0.3565568395200678,0.9997565725413827,completed
100000000,250000000,35980,35483,0.9861867704280156,0.9823235130628126,291,0.008087826570316843,2,20,20,44,5296,66,49.70083683549878,0.21584529723628754,0.9444864048338368,0.33639462200449516,0.9802655558448321,completed
100000000,1000000000,35980,35468,0.9857698721511952,0.9823235130628126,291,0.008087826570316843,2,20,20,44,5281,85,159.0745272372765,0.27249341497623947,0.7350880515053967,0.4669755859312567,0.9270823422187279,completed
250000000,10000000,35980,35709,0.9924680377987771,1.0005836575875486,390,0.01083935519733185,2,20,20,44,5369,53,13.728490312348738,0.12724787317613784,0.9867759359284783,0.3333333333333333,1.0,completed
250000000,50000000,35980,35752,0.9936631461923291,1.0005836575875486,390,0.01083935519733185,2,20,20,44,5376,54,13.725396139390073,0.1331890187793283,0.9864211309523809,0.3333333333333333,1.0,completed
250000000,100000000,35980,35751,0.9936353529738744,1.0005836575875486,390,0.01083935519733185,2,20,20,44,5375,58,26.077080895108377,0.17729345862259369,0.9739534883720931,0.3333333333333333,1.0,completed
250000000,250000000,35980,35748,0.9935519733185103,1.0005836575875486,390,0.01083935519733185,2,20,20,44,5372,70,54.40908759023942,0.24460901884608338,0.9426656738644825,0.3344283951648066,0.9830979284369115,completed
250000000,1000000000,35980,35733,0.9931350750416899,1.0005836575875486,390,0.01083935519733185,2,20,20,44,5357,86,168.65846576830333,0.29289701920659944,0.7302594735859623,0.48449953024066117,0.9384873546685845,completed
500000000,10000000,35980,35842,0.9961645358532518,1.0081156197887715,446,0.012395775430794885,2,20,20,44,5396,54,13.049418926948741,0.14055838494173142,0.9864714603409933,0.3333333333333333,1.0,completed
500000000,50000000,35980,35857,0.9965814341300723,1.0081156197887715,446,0.012395775430794885,2,20,20,44,5396,54,13.043989112620087,0.14054687961326306,0.9864714603409933,0.3333333333333333,1.0,completed
500000000,100000000,35980,35856,0.9965536409116176,1.0081156197887715,446,0.012395775430794885,2,20,20,44,5395,59,25.19249637058171,0.18826583045326253,0.974050046339203,0.3333333333333333,1.0,completed
500000000,250000000,35980,35853,0.9964702612562535,1.0081156197887715,446,0.012395775430794885,2,20,20,44,5392,71,56.05760527713858,0.2502874671639202,0.9423219584569733,0.33787084934271444,0.9864406779661017,completed
500000000,1000000000,35980,35838,0.996053362979433,1.0081156197887715,446,0.012395775430794885,2,20,20,44,5377,87,172.71554210486693,0.3022810257992002,0.7169425330109727,0.4872429973602172,0.9465324223900274,completed
