horizon_ns,added_decision_delay_ns,feature_count,train_rows,test_rows,mae,r2,ic,direction_accuracy,balanced_accuracy,roc_auc_nonzero,target_standard_deviation,mean_decision_state_age_ns,p95_decision_state_age_ns,max_observation_delay_ns,analysis_type,evaluation_status
250000000,100000,44,2784,735,386.84988190997836,0.0,,0.0,,,0.0,99778.36734693877,100000.0,100000000,offline_latency_sensitivity,insufficient_target_variation
250000000,250000,44,2784,735,385.7745132565151,0.0,,0.0,,,0.0,248780.95238095237,250000.0,100000000,offline_latency_sensitivity,insufficient_target_variation
250000000,500000,44,2784,735,385.7745132565151,0.0,,0.0,,,0.0,498716.0544217687,500000.0,100000000,offline_latency_sensitivity,insufficient_target_variation
250000000,1000000,44,2785,735,386.1440528422003,0.0,,0.0,,,0.0,998716.0544217688,1000000.0,100000000,offline_latency_sensitivity,insufficient_target_variation
250000000,5000000,44,2785,735,387.2207589825097,0.0,,0.0,,,0.0,4998716.0544217685,5000000.0,100000000,offline_latency_sensitivity,insufficient_target_variation
1000000000,0,44,2604,556,1535.2281610174928,0.0,,0.0,,,0.0,0.0,0.0,100000000,offline_latency_sensitivity,insufficient_target_variation
1000000000,5000,44,2540,556,1543.747012798458,0.0,,0.0,,,0.0,5000.0,5000.0,100000000,offline_latency_sensitivity,insufficient_target_variation
1000000000,10000,44,2540,556,1543.747012798458,0.0,,0.0,,,0.0,10000.0,10000.0,100000000,offline_latency_sensitivity,insufficient_target_variation
1000000000,25000,44,2507,556,1581.7328624654388,0.0,,0.0,,,0.0,25000.0,25000.0,100000000,offline_latency_sensitivity,insufficient_target_variation
1000000000,50000,44,2464,556,1672.394398800794,0.0,,0.0,,,0.0,50000.0,50000.0,100000000,offline_latency_sensitivity,insufficient_target_variation
1000000000,100000,44,2444,554,1762.9510540674041,0.0,,0.0,,,0.0,100000.0,100000.0,100000000,offline_latency_sensitivity,insufficient_target_variation
1000000000,250000,44,2508,526,1109.0641376388662,0.0,,0.0,,,0.0,249747.14828897337,250000.0,100000000,offline_latency_sensitivity,insufficient_target_variation
1000000000,500000,44,2546,512,950.9582240102327,0.0,,0.0,,,0.0,499740.234375,500000.0,100000000,offline_latency_sensitivity,insufficient_target_variation
1000000000,1000000,44,2671,515,390.39621215190573,0.0,,0.0,,,0.0,999741.7475728155,1000000.0,100000000,offline_latency_sensitivity,insufficient_target_variation
1000000000,5000000,44,2730,556,302.7902742168712,0.0,,0.0,,,0.0,4999760.791366907,5000000.0,100000000,offline_latency_sensitivity,insufficient_target_variation
