horizon_ns,target_reference,predictor_reference,rows,mae_ticks,ic,direction_accuracy,balanced_accuracy,roc_auc_nonzero,target_standard_deviation_ticks,evaluation_scope
10000000,consolidated_midpoint,consolidated_midpoint,34878,10.659326796261254,,0.9773209473020242,0.3333333333333333,0.5,108.74100567238543,full_capture_no_fitted_parameters
10000000,consolidated_midpoint,consolidated_microprice,34878,10.982329383352496,0.009975281935852143,0.020069958139801593,0.5893337941687254,0.9164351822219946,108.74100567238543,full_capture_no_fitted_parameters
10000000,consolidated_midpoint,venue_1_midpoint,34877,19.731800326862977,0.23938635614088014,0.9723600080282134,0.3776430350941679,0.5661219330664202,108.40345861147512,full_capture_no_fitted_parameters
10000000,consolidated_midpoint,venue_1_microprice,34877,20.048901371776036,0.2393874295349165,0.02067264959715572,0.6071245252027513,0.9703508366697464,108.40345861147512,full_capture_no_fitted_parameters
10000000,consolidated_midpoint,venue_4_midpoint,25525,6569.1730852105775,-0.009370856493361288,0.011126346718903037,0.2783838913657954,0.437581956464726,103.00553872893114,full_capture_no_fitted_parameters
10000000,consolidated_midpoint,venue_4_microprice,25525,15090.296856696748,-0.027295445914900043,0.0110871694417238,0.26905615292712065,0.41091441559576886,103.00553872893114,full_capture_no_fitted_parameters
10000000,consolidated_microprice,consolidated_midpoint,34878,11.006345353448392,-0.00279233227898689,0.17870864155054764,0.3216079423987201,0.4720788731549391,108.83117050551886,full_capture_no_fitted_parameters
10000000,consolidated_microprice,consolidated_microprice,34878,10.67062331963877,,0.6295372441080337,0.3333333333333333,0.5,108.83117050551886,full_capture_no_fitted_parameters
10000000,consolidated_microprice,venue_1_midpoint,34877,20.062045066204842,0.2392129666413066,0.1789431430455601,0.3220416332347637,0.4732168283235561,108.49470095798937,full_capture_no_fitted_parameters
10000000,consolidated_microprice,venue_1_microprice,34877,19.74025761788374,0.23917290796921312,0.6292685724116179,0.3371129838522487,0.5033382260290261,108.49470095798937,full_capture_no_fitted_parameters
10000000,consolidated_microprice,venue_4_midpoint,25525,6569.19344876887,-0.009355743104044847,0.19345739471106757,0.3297815863355002,0.4917656025850138,103.14211230975457,full_capture_no_fitted_parameters
10000000,consolidated_microprice,venue_4_microprice,25525,15090.307342724496,-0.027267386570418117,0.18926542605288932,0.32206107550893026,0.48982108717683814,103.14211230975457,full_capture_no_fitted_parameters
50000000,consolidated_midpoint,consolidated_midpoint,34929,11.170574594176758,,0.9763520284004695,0.3333333333333333,0.5,110.56287391645166,full_capture_no_fitted_parameters
50000000,consolidated_midpoint,consolidated_microprice,34929,11.491424160435429,0.018005152393636124,0.020928168570528788,0.5896551724137931,0.9187895847994371,110.56287391645166,full_capture_no_fitted_parameters
50000000,consolidated_midpoint,venue_1_midpoint,34928,20.229815620705452,0.2354015837421177,0.9713983050847458,0.376421529508937,0.5645038033318833,110.23136389297798,full_capture_no_fitted_parameters
50000000,consolidated_midpoint,venue_1_microprice,34928,20.544772200260923,0.23547640666480904,0.02153000458085204,0.607038025480952,0.9713133545739916,110.23136389297798,full_capture_no_fitted_parameters
50000000,consolidated_midpoint,venue_4_midpoint,25563,6566.228611665298,-0.009256849008018759,0.01169659273168251,0.2808356620093147,0.44148502994011973,105.41095757881621,full_capture_no_fitted_parameters
50000000,consolidated_midpoint,venue_4_microprice,25563,15091.28427913016,-0.027547349016928697,0.011344521378554942,0.2666161011310712,0.4130818363273453,105.41095757881621,full_capture_no_fitted_parameters
50000000,consolidated_microprice,consolidated_midpoint,34929,11.517640710963144,-0.010624932050731943,0.17879126227490053,0.32099964041711615,0.47039121523794303,110.64248592558857,full_capture_no_fitted_parameters
50000000,consolidated_microprice,consolidated_microprice,34929,11.180530842913038,,0.6287039422829168,0.3333333333333333,0.5,110.64248592558857,full_capture_no_fitted_parameters
50000000,consolidated_microprice,venue_1_midpoint,34928,20.560132413241092,0.2351854431236051,0.17902542372881355,0.321436850802074,0.47154256633050706,110.31199823213,full_capture_no_fitted_parameters
50000000,consolidated_microprice,venue_1_microprice,34928,20.236936744407913,0.23521653950212862,0.6284356390288593,0.33709861096234217,0.5033402366301636,110.31199823213,full_capture_no_fitted_parameters
50000000,consolidated_microprice,venue_4_midpoint,25563,6566.24897607323,-0.00923486681307825,0.19391307749481673,0.32980135607561645,0.4917480333006808,105.53161638463658,full_capture_no_fitted_parameters
50000000,consolidated_microprice,venue_4_microprice,25563,15091.295119494682,-0.027510945176390817,0.18937526894339474,0.3217300588603593,0.48972949229147517,105.53161638463658,full_capture_no_fitted_parameters
100000000,consolidated_midpoint,consolidated_midpoint,34829,20.226075971173447,,0.9548939102472078,0.3333333333333333,0.5,146.67476020546707,full_capture_no_fitted_parameters
100000000,consolidated_midpoint,consolidated_microprice,34829,20.515376491607082,0.04959583075751547,0.04071319877113899,0.6014215740314426,0.936763571044116,146.67476020546707,full_capture_no_fitted_parameters
100000000,consolidated_midpoint,venue_1_midpoint,34828,26.55969335017802,0.28645688662522684,0.9516193867003561,0.3672419216301021,0.5513833158024596,146.425257575228,full_capture_no_fitted_parameters
100000000,consolidated_midpoint,venue_1_microprice,34828,26.845805533147114,0.2867749693640522,0.04160445618467899,0.6147168439232797,0.9757879153843158,146.425257575228,full_capture_no_fitted_parameters
100000000,consolidated_midpoint,venue_4_midpoint,25488,6572.6189481324545,-0.010293181528844826,0.02287350910232266,0.2862466790406522,0.4473141172617098,141.31552388973495,full_capture_no_fitted_parameters
100000000,consolidated_midpoint,venue_4_microprice,25488,15095.181025320022,-0.033731940366075144,0.02232423101067169,0.2745641809513411,0.4229151654110711,141.31552388973495,full_capture_no_fitted_parameters
100000000,consolidated_microprice,consolidated_midpoint,34829,20.570904856340853,-0.04123566702690849,0.35424502569697663,0.3207920911831845,0.4703357008293567,146.81805956325323,full_capture_no_fitted_parameters
100000000,consolidated_microprice,consolidated_microprice,34829,20.245589624971235,,0.26380315254529274,0.3333333333333333,0.5,146.81805956325323,full_capture_no_fitted_parameters
100000000,consolidated_microprice,venue_1_midpoint,34828,26.889835343108818,0.2858424451409509,0.3547433099804755,0.3212450806189125,0.4715647685799828,146.5693942663259,full_capture_no_fitted_parameters
100000000,consolidated_microprice,venue_1_microprice,34828,26.57664091807093,0.2861112149361937,0.26771563110141267,0.33654023280332585,0.5030065000754871,146.5693942663259,full_capture_no_fitted_parameters
